created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 10 13:24:15 +0000 2019;1148946034292170754;"Budget iklan TV terbesar tahun lalu :  Pantene : Rp 1,3 triliun Clear : Rp 1,1 triliun Wardah : Rp 1,1 triliun Rexona : Rp 1 triliun Garnier : Rp 960M Pepsodent : Rp 880M  Wardah makin meroket.   Baru tau deodoran bau ketek bisa bisa bakar uang Rp 1 triliun.   Bau ketek doang!";246;141;2161;2313;in;190535830;1148946034292170754;Strategi_Bisnis;https://twitter.com/Strategi_Bisnis/status/1148946034292170754
Sun Jun 09 15:29:29 +0000 2019;1137743526597234688;"Kalau skrg lipstick: 1. Simplysiti (lupa shade tapi yang packaging warna merah) 2. Wardah liquid lipstick See You Latte 3. Silky Girl OMG Matte 01 Blossom  Shampoo tengah try shampoo baru, nanti lah share 😂";19;8;778;2118;in;23139167;1137743526597234688;ImanAbdulRahim;https://twitter.com/ImanAbdulRahim/status/1137743526597234688
Fri Jun 07 14:54:07 +0000 2019;1137009849659609088;"#LebaranArtis 2019 Dewi Sandra &amp  suami:  Brand ambassador lahir batin, sampe gamis pun warna Wardah 😥 https://t.co/qgzOWtnWnv";278;40;2437;1522;in;41284868;1136986372592422913;rizkidwika;https://twitter.com/rizkidwika/status/1137009849659609088
Fri May 31 06:45:28 +0000 2019;1134350161642000384;"Pasta gigi sasa: halal Lipstick wardah: halal Make up sariayu: halal  Kamu pake pasta gigi sasa, lipstick wardah dan make up sariayu terus senyum ke aku?  Fix aku halalin kamu!!";27;99;545;3403;in;1102847393542758401;1134350161642000384;88kising;https://twitter.com/88kising/status/1134350161642000384
Sun Feb 03 16:59:23 +0000 2019;1092105278655320066;"Skincare yg takde mercury: Drugstore brands, high end brands, yang dah buat R&amp D bertahun tahun sebelum keluarkan produk.  Contoh yg affordable and local: Safi, Cosmoderm, Aiken.  Tak local tapi affordable: Simple, Wardah, Garnier etc";7;12;879;824;in;23139167;1092105278655320066;ImanAbdulRahim;https://twitter.com/ImanAbdulRahim/status/1092105278655320066
Thu Nov 29 23:24:58 +0000 2018;1068284715411550208;"2nd Giveaway uwu uwu meskipun yang 1st blm diumumin hehehe 🎈  2 Lipcream Wardah untuk 2 pemenang, 1nya punyaku 😜  Rulesnya masih sama : 1. RT LIKE tweet ini. 2. RT LIKE pinned tweet. 3. Done.  Doiku gajihan lebih awal jd aku beli 3 Lipcream, Goodluck ya! 😂💓💓 https://t.co/HlZtiQlIqt";7;452;872;694;in;782560924301262848;1068284715411550208;saturd44y;https://twitter.com/saturd44y/status/1068284715411550208
Tue Oct 16 06:05:28 +0000 2018;1052078049817112576;"[GIVEAWAY] ✨✨  Emina City Chic CC Cake + Wardah Exclusive Matte Lip Cream no. 10  Cuma sekali pake dan ngga cocok di aku. Siapa tau ada yang berminat😭  Syarat: 1. RT dan like 2. Doain semoga skripsi ku dimudahkan ya hwhwhsh 3. Kalo mau mutualan boleh banget💕 https://t.co/u1SZVVWgL5";2;275;869;692;in;989428749627084803;1052078049817112576;nikuuyon;https://twitter.com/nikuuyon/status/1052078049817112576
Sat Sep 29 03:02:15 +0000 2018;1045871349095260162;"[GIVEAWAY]   Karna jojo masuk semifinal korea open 2018 aku mau giveaway skincare wardah and nature republic aloe vera untuk 2 orang pemenang  Rulesnya retweet and like Diumumin 12 October 2018💖  ps : kuy mutualan https://t.co/1bDb5YuE9H";2;199;2035;1598;in;1036269182554234881;1045871349095260162;mulfangurls;https://twitter.com/mulfangurls/status/1045871349095260162
Sun Jul 29 00:48:26 +0000 2018;1023369625457684480;"Sesekali bikin GIVE AWAY  Cz Daniel notice Indonesia dia vlive dan dapet 100M love💙💚💛🧡❤️💓  PULSA 20K all operator  Plus Liptint Wardah new!!! -WAJIB RETWEET AMA LOVE YA Bakalan gue cek !!  -DI FOLLOW BAKALAN LEBIH BAGUS PELUANGNYA  Berlaku smp 30 Juli jam 16.00wib https://t.co/mKcxoWU35O";2;139;692;501;in;2921684654;1023369625457684480;nayinayooow;https://twitter.com/nayinayooow/status/1023369625457684480
Thu Jul 19 04:48:27 +0000 2018;1019806148462022657;"Punya Lipstik yang hampir habis? Kalian bisa nih dapatkan diskon 45% dengan membawa lipstik lamamu Watsons Friends :) Promo ini hanya berlaku untuk beberapa produk saja seperti Brand berikut: Rosa Purbasari Maybelline Wardah Make Over Emina Mineral Botanica Mirabella https://t.co/Ac3V3I2Pc0";213;166;588;429;in;1850475144;1019806148462022657;WatsonsIndo;https://twitter.com/WatsonsIndo/status/1019806148462022657
Sun Feb 04 09:08:19 +0000 2018;960077549379268608;"I lagi suka kalau Watsons yang sale sebab banyak brand yg I nak cuba!!! Contohnya Naruko, Wardah, Pure Beauty. Sunscreen Sunkiller pun Watsons je ada!!";64;40;1324;1528;in;23139167;960077549379268608;ImanAbdulRahim;https://twitter.com/ImanAbdulRahim/status/960077549379268608
Sun Jun 11 04:41:00 +0000 2017;873761962445766658;"Wardah Beauty dah masuk Watson Malaysia. Benda first I tengok dia punya liquid lipstick. Lawa gila! https://t.co/DCK6rgyXPS";125;20;482;473;in;429675317;873761962445766658;_ikaisme_;https://twitter.com/_ikaisme_/status/873761962445766658
Wed Jan 18 12:14:41 +0000 2017;821692283900698624;"ni wardah ke wardahell ! https://t.co/v2rLXHyEMX";113;13;4347;1738;in;96476878;821692283900698624;khairulanwarx;https://twitter.com/khairulanwarx/status/821692283900698624
